App Name,Rating,Google Ratings,Reviews (Dataset),Genre,log_ratings,log_reviews,z_rating,z_log_ratings,z_log_reviews,genre_bonus,z_genre,Composite Score,Rank
Learn German with Seedlang,4.7,7160.0,9,Education,8.87640491500694,2.302585092994046,0.7145316127118037,-0.3950006260202167,-0.23515399620338265,1.0,0.27111385490794915,0.14739304352877486,48
"Learn Dutch - 5,000 Phrases",4.68,1864.0,39,Education,7.5310163320779155,3.6888794541139363,0.6550689910778069,-0.8681750683927312,0.5606034664804183,1.0,0.27111385490794915,0.14080715470018199,49
Mango Languages Learning,4.8,22511.0,0,Education,10.02180377935417,0.0,1.0118447208817798,0.007837242390774277,-1.556878532206183,1.0,0.27111385490794915,0.12282474011950253,50
"Learn Spanish - 11,000 Words",4.27,37305.0,100,Education,10.526909450604508,4.61512051684126,-0.5639147524190995,0.18548338668370642,1.0922822055571755,1.0,0.27111385490794915,0.07564694163970215,51
TOEFL Vocabulary Flashcards,4.76,6475.0,2,Education,8.775858314797526,1.0986122886681098,0.8929194776137888,-0.430362960806026,-0.9262556631947633,1.0,0.27111385490794915,0.06991915565555001,52
Wlingua - Learn German,4.82,9311.0,0,Education,9.139059169971219,0.0,1.0713073425157764,-0.3026248750985611,-1.556878532206183,1.0,0.27111385490794915,0.05347115352630058,53
Wlingua - Learn French,4.78,13624.0,0,Education,9.519661619531444,0.0,0.9523820992477855,-0.1687666321185304,-1.556878532206183,1.0,0.27111385490794915,0.046058529113113394,54
Complete English grammar Book,4.85,2259.0,1,Education,7.723120092266331,0.6931471805599453,1.1605012749667678,-0.8006119934876931,-1.1589998008642826,1.0,0.27111385490794915,0.019328337258337627,55
Drops: Learn Dutch,4.37,8178.0,53,Education,9.009325172734973,3.9889840465642745,-0.2666016442491208,-0.3482524451388639,0.7328688061699766,1.0,0.27111385490794915,-0.03743124451651725,56
Quizgecko: Smart AI Flashcards,4.72,2679.0,3,Education,7.893572073504902,1.3862943611198906,0.7739942343457978,-0.740663869802667,-0.761121069522382,1.0,0.27111385490794915,-0.037714295616162435,57
"Learn Dutch - 11,000 Words",4.27,8804.0,100,Education,9.083075020930307,4.61512051684126,-0.5639147524190995,-0.3223145534860955,1.0922822055571755,1.0,0.27111385490794915,-0.0766924404112384,58
Grammarly-AI Writing Assistant,4.18,253867.0,100,Productivity,12.444569725878232,4.61512051684126,-0.8314965497720784,0.859926326757649,1.0922822055571755,0.8,-2.47014845582799,-0.10317912635290058,59
IELTS Exam Preparation: Vocabu,4.67,5010.0,1,Education,8.519390774959724,0.6931471805599453,0.6253376802608098,-0.5205628381419886,-1.1589998008642826,1.0,0.27111385490794915,-0.11072235402033423,60
Gramaro: Learn English Grammar,4.78,2116.0,0,Education,7.6577552711348655,0.0,0.9523820992477855,-0.8236008631585843,-1.556878532206183,1.0,0.27111385490794915,-0.15039174019890278,61
Proofreader AI Grammar Checker,4.72,3572.0,0,Education,8.181160858023409,0.0,0.7739942343457978,-0.6395186211557098,-1.556878532206183,1.0,0.27111385490794915,-0.1665222135588355,62
Toddler flashcards for kids,4.27,10479.0,16,Educational,9.257223957875032,2.833213344056216,-0.5639147524190995,-0.26106620696810395,0.06943599747766217,1.0,0.27111385490794915,-0.2628871780717437,63
italki: learn any language,4.23,17175.0,15,Education,9.751268339558617,2.772588722239781,-0.6828399956870878,-0.08731032872104116,0.03463639316141898,1.0,0.27111385490794915,-0.26529043276806874,64
Learn German words & Grammar,4.79,181.0,1,Education,5.204006687076795,0.6931471805599453,0.9821134100647826,-1.6865865705713214,-1.1589998008642826,1.0,0.27111385490794915,-0.3178191818275449,65
Learn French Fast: Course,4.24,11223.0,6,Education,9.325809621782296,1.9459101490553132,-0.6531086848700907,-0.2369445638340323,-0.43989171739146354,1.0,0.27111385490794915,-0.39319380108574375,66
DW Learn German,4.25,9273.0,4,Education,9.134970064951407,1.6094379124341003,-0.6233773740530936,-0.30406301721757617,-0.6330327275452834,1.0,0.27111385490794915,-0.44006501480477206,67
Jojo AI: Language Tutor,4.73,237.0,0,Education,5.472270673671475,0.0,0.8037255451627976,-1.5922378717075214,-1.556878532206183,1.0,0.27111385490794915,-0.4404454643975791,68
AlgoApp Flashcards,4.22,3960.0,11,Education,8.284251797621916,2.4849066497880004,-0.7125713065040874,-0.6032614397903201,-0.13049820051096228,1.0,0.27111385490794915,-0.46499520915012854,69
Rewrite: Grammar Check,4.7,2541.0,0,Productivity,7.8407064517494,0.0,0.7145316127118037,-0.759256759182163,-1.556878532206183,0.8,-2.47014845582799,-0.5003549346939631,70
LearnEnglish Grammar,4.15,10721.0,2,Education,9.280052984387483,1.0986122886681098,-0.9206904822230696,-0.2530372166622556,-0.9262556631947633,1.0,0.27111385490794915,-0.6023271050360622,71
HelloTalk - Learn Languages,3.5,222673.0,100,Education,12.313464097440093,4.61512051684126,-2.8532256853279216,0.8138163527209605,1.0922822055571755,1.0,0.27111385490794915,-0.6515775417126506,72
Learn Dutch With Amy for Kids,,,85,Education,0.0,4.454347296253507,0.4172185045418251,-3.5168406648193486,0.999995535661857,1.0,0.27111385490794915,-0.6610543050059083,73
Vocab24: Hindu App & Editorial,3.95,65428.0,0,Education,11.088720864237898,0.0,-1.5153166985630242,0.3830729944279228,-1.556878532206183,1.0,0.27111385490794915,-0.7754691020472746,74
